UserID,Username,Email,JoinDate,TotalPlayTime,Gender,Age
1,nishasingh14,nishasingh14@gmail.com,2023-11-04,251,Female,25
2,rahulkumar70,rahulkumar70@gmail.com,2023-12-09,701,Male,23
3,ankityadav32,ankityadav32@gmail.com,2023-04-05,1708,Male,17
4,rahuljain73,rahuljain73@gmail.com,2023-02-22,1716,Male,16
5,deepakgupta59,deepakgupta59@gmail.com,2023-09-03,1409,Female,19
6,vikasgupta61,vikasgupta61@gmail.com,2023-07-02,261,Male,28
7,nishajain60,nishajain60@gmail.com,2023-02-07,676,Female,22
8,ankitkumar52,ankitkumar52@gmail.com,2023-09-20,254,Male,20
9,ankitpatel78,ankitpatel78@gmail.com,2023-09-07,1666,Male,20
10,rohanthakur38,rohanthakur38@gmail.com,2023-11-23,1316,Male,35
11,amitsingh56,amitsingh56@gmail.com,2023-07-08,1119,Male,18
12,nishasharma33,nishasharma33@gmail.com,2023-10-09,1857,Female,24
13,poojasharma95,poojasharma95@gmail.com,2023-01-25,1850,Male,25
14,rahulthakur28,rahulthakur28@gmail.com,2023-03-23,1065,Female,23
15,arjunjain64,arjunjain64@gmail.com,2023-06-09,518,Male,17
16,shivsingh63,shivsingh63@gmail.com,2023-04-25,889,Male,35
17,shivthakur26,shivthakur26@gmail.com,2023-02-03,978,Female,34
18,rohanpatel39,rohanpatel39@gmail.com,2023-02-12,1935,Female,22
19,ravigupta37,ravigupta37@gmail.com,2023-06-20,741,Male,15
20,shivpatel13,shivpatel13@gmail.com,2023-01-24,1140,Male,35
21,amitsharma30,amitsharma30@gmail.com,2023-09-04,975,Male,22
22,ravichauhan42,ravichauhan42@gmail.com,2023-02-18,800,Male,28
23,nishapatel25,nishapatel25@gmail.com,2023-11-20,1964,Female,24
24,raviverma80,raviverma80@gmail.com,2023-06-19,593,Female,25
25,ravithakur96,ravithakur96@gmail.com,2023-12-03,293,Male,19
26,nehachauhan54,nehachauhan54@gmail.com,2023-11-08,1783,Male,28
27,rahulgupta57,rahulgupta57@gmail.com,2023-05-03,1951,Male,22
28,vikaskumar61,vikaskumar61@gmail.com,2023-04-28,406,Male,19
29,poojapatel72,poojapatel72@gmail.com,2023-07-09,1128,Female,25
30,shivyadav57,shivyadav57@gmail.com,2023-11-27,947,Male,16
31,rohanthakur58,rohanthakur58@gmail.com,2023-03-12,927,Male,20
32,arjunpatel37,arjunpatel37@gmail.com,2023-04-22,746,Male,25
33,priyayadav28,priyayadav28@gmail.com,2023-12-22,1527,Male,21
34,arjunchauhan29,arjunchauhan29@gmail.com,2023-02-20,1500,Male,18
35,shivkumar92,shivkumar92@gmail.com,2023-03-18,1693,Male,20
